"Reference","Value","Datasheet","Footprint","Qty","DNP","Current","Dielectric","Frequency","Manufacturer","PartNum","Power","Tolerance","Voltage"
"U205","LP3853","","Local:TO220-5-Vertical_NDH","1","","3A","","","Texas Instruments","LP3853ET-3.3/NOPB","","","3.3V"
"U207","NC7SZ125","","Local:SOT-23-5_1.6x2.9mm_Pitch0.95mm_HandSoldering","1","","","","","Fairchild Semiconductor","NC7SZ125M5X","","",""
"U301","Adafruit746","","Local:Adafruit746","1","DNP","","","","Adafruit","Adafruit746","","",""
"U302","MIC5225","","Local:SOT-23-5_1.6x2.9mm_Pitch0.95mm_HandSoldering","1","","0.15A","","","Micrel","MIC5225-3.3YM5-TR","","","3.3V"
"U303","PA6H","","Local:FGPMMOPA6H","1","","","","","GlobalTop Technology","PA6H","","",""
"U401","74LVC541","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","1","","","","","Texas Instruments","SN74LVC541APWR","","",""
"U501,U502,U503","TPS56428","","Local:SOIC-8_PowerPAD_HandSoldering","3","","","","","Texas Instruments","TPS56428DDA","","",""
"U601,U603","ADT7410","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2","","","","","Analog Devices","ADT7410TRZ","","",""
"U602","DS3231","","Local:SOIC-16_Maxim_W16_H2","1","","","","","Maxim Integrated","DS3231S#","","",""
"Y202","CX210","","Local:CX210_HandSoldering","1","","","","10.0MHz","Connor Winfield","OH300-50503CV-010.0M","","",""
